Date,High_minus_Low,Cha_Spread,ret_High,ret_Low,cha_High,cha_Low
197201,0.031522257348720384,0.27235728889891836,0.05078480298975063,0.01926254564103025,0.10320027226477792,-0.16915701663414043
197202,-0.03280891863049079,0.23664199559262517,-0.014632185823586163,0.018176732806904627,0.05601891347154132,-0.18062308212108383
197203,-0.02599272046275801,0.28463384626644406,0.020323196067604223,0.04631591653036223,0.07998593041112118,-0.20464791585532285
197204,-0.008496672100453873,0.2809788104399833,8.881333501956412e-4,0.009384805450649514,0.039138864471527424,-0.24183994596845584
197205,0.01741963598103216,0.2957053733785009,0.013320798637842479,-0.004098837343189683,0.04724388700405983,-0.24846148637444104
197206,0.027965076770214675,0.2928425098784469,0.014128014580607019,-0.013837062189607655,0.04502526579484854,-0.24781724408359834
197207,0.10534648739136582,0.23839209992557286,0.0658541645896226,-0.03949232280174323,0.0350043015957603,-0.20338779832981257
197208,0.016499934154478257,0.19613089537573017,0.06951615783013165,0.053016223675653396,-0.0010688138994040337,-0.1971997092751342
197209,-0.04099618583914216,0.17438307064884273,0.0055987508638623935,0.046594936703004554,-0.052604015701210136,-0.22698708635005288
197210,0.004121466761363029,0.24773186384918636,0.012865872316156565,0.008744405554793536,-0.03162305016747539,-0.27935491401666174
197211,-0.041115624527985395,0.27155750951838636,0.019397198758209683,0.06051282328619508,-0.018052196332682176,-0.28960970585106854
197212,-0.06030976260137094,0.3256430977165627,0.04797479367732499,0.10828455627869593,-0.035510627086840545,-0.36115372480340324
197301,-0.01741179036142776,0.3786470723633196,0.027318588784252806,0.044730379145680566,-0.08405342733186291,-0.4627004996951825
197302,0.039218172425821776,0.4256436836972658,0.14103270167016527,0.10181452924434349,-0.08365752265074847,-0.5093012063480142
197303,0.061076434182125314,0.4471522105834679,0.00811152862053712,-0.05296490556158819,-0.1635120491246964,-0.6106642597081643
197304,-0.12324117980691807,0.4322403992820023,0.05300843795255674,0.1762496177594748,-0.1448379423412406,-0.5770783416232429
197305,-0.1906197705867305,0.5063864668216586,0.12763266172068263,0.3182524323074131,-0.19864428910918397,-0.7050307559308425
197306,0.008611290195895146,0.6633397654668534,0.01225908450458831,0.003647794308693164,-0.3122392048747859,-0.9755789703416392
197307,0.027868929575655982,0.6167472062925132,0.24428898858107187,0.2164200590054159,-0.3238646398113684,-0.9406118461038816
197308,0.03900519991718729,0.6145878224819186,-0.02419244567164632,-0.0631976455888336,-0.5052475154998113,-1.1198353379817299
197309,0.030772980035324842,0.6439084750300008,0.022963648938654546,-0.007809331096670295,-0.38583777461709007,-1.0297462496470908
197310,0.1206943528640731,0.5806667490926172,-0.01203868449926293,-0.13273303736333603,-0.4109942800456,-0.9916610291382172
197311,-0.14297756553823815,0.4564063722994636,-0.007713957616302188,0.13526360792193595,-0.39437220268639167,-0.8507785749858553
197312,-0.006145977047769237,0.5731437974129685,0.052532984405662064,0.0586789614534313,-0.39134113402783727,-0.9644849314408058
197401,0.001761946182911367,0.5668624672192508,0.08031314931878271,0.07855120313587134,-0.4394934377457125,-1.0063559049649633
197402,0.0068479407217170545,0.5980818984890469,0.026642892751206165,0.01979495202948911,-0.49342842996725234,-1.0915103284562993
197403,0.1508340833699254,0.6797526165116354,0.01561269147301784,-0.13522139189690757,-0.4528651788669194,-1.1326177953785548
197404,-0.0245661318097141,0.5736501525579007,-0.016891086182433974,0.007675045627280126,-0.44360326865725663,-1.0172534212151574
197405,0.018402840119134456,0.61257281557993,-0.07427845179907694,-0.0926812919182114,-0.39305348092700687,-1.005626296506937
197406,0.03226759242573411,0.6105642590671534,0.10297329115647351,0.0707056987307394,-0.3111266471605909,-0.9216909062277443
197407,-0.05398563937313772,0.6606813654202615,0.23123710895784355,0.28522274833098127,-0.28219602533270893,-0.9428773907529704
197408,0.05469779231353633,0.7648993978335831,-0.09981212825911379,-0.15450992057265012,-0.4430338028785651,-1.2079332007121482
197409,-0.10264925130766954,0.7016560096956668,0.06638224038725733,0.16903149169492687,-0.33142703120166095,-1.0330830408973277
197410,0.001166039373182156,0.7678654150627048,-0.030303857290475505,-0.03146989666365766,-0.4153854366187385,-1.1832508516814433
197411,0.016427104074453434,0.751995937247744,-0.03029602041954549,-0.04672312449399892,-0.3956216241841153,-1.1476175614318593
197412,0.009181780707842993,0.7483641793088515,-0.0830719664033468,-0.09225374711118979,-0.3734028692029604,-1.1217670485118119
197501,0.10397690010694972,0.7091983329125187,-0.0172058717971712,-0.12118277190412093,-0.31115016218313335,-1.020348495095652
197502,0.07163707853678014,0.6623292148755764,-0.028533446362352777,-0.10017052489913292,-0.2570157606096349,-0.9193449754852112
197503,-0.03862240332417899,0.5302287288717575,0.07198436950205166,0.11060677282623065,-0.25040275150853025,-0.7806314803802877
197504,0.10622844546302368,0.5211539859982752,0.016291536866036755,-0.08993690859698693,-0.34892390086376807,-0.8700778868620433
197505,0.04056183942429065,0.42296200791769584,0.01634418469340354,-0.024217654730887106,-0.35415538141722797,-0.7771173893349238
197506,0.017251728478049264,0.375776723561713,0.02427250622701636,0.007020777748967096,-0.3701047596700632,-0.7458814832317762
197507,-0.021415412407380596,0.32548946341129054,0.1001358324250941,0.1215512448324747,-0.3983475194210911,-0.7238369828323816
197508,0.01556316962856764,0.35620546426672345,0.033690246498379574,0.018127076869811933,-0.4662711128957418,-0.82247657716246525
197509,-0.010821561268495355,0.3480548182964959,0.020420378749973656,0.03124194001846901,-0.49482261231284047,-0.8428774306093364
197510,-0.02081764511862065,0.36416812227388784,-0.08870244288793044,-0.0678847977693098,-0.5116324158423597,-0.8758005381162476
