Date,Rank,Cha_Spread,ret_High,ret_Low,cha_High,cha_Low
197201,0.06096240586420682,0.3974104844547652,0.0674058747825594,0.006443468918352576,0.13244013932868406,-0.2649703451260811
197202,-0.048375427185555375,0.3473243191238961,-0.028934213919118528,0.019441213266436847,0.08703917655795687,-0.26028514256593926
197203,-0.013533602455097538,0.4042905269679923,0.03066901862268365,0.04420262107778119,0.115474490727294,-0.2888160362406983
197204,-0.021551018630728874,0.3748462838678064,0.0032294973657647813,0.024780515996493654,0.05612979504706722,-0.31871648882073916
197205,-5.93559617769893e-4,0.3981079005542314,6.285266256675177e-4,0.0012220862434374107,0.06453974762527138,-0.33356815292896
197206,2.225261627383443e-4,0.3768722515425029,0.007598918103229827,0.007376391940491483,0.061545084854676115,-0.3153271666878268
197207,0.11359874980187157,0.34262117295672284,0.07925763236362583,-0.03434111743824574,0.05184939961422085,-0.290771773342502
197208,0.03845067147671932,0.2738741811243232,0.07743878443086787,0.03898811295414854,0.016468028429739143,-0.2574061526945841
197209,-0.05748849090905944,0.24173634321774726,0.0052623027913754235,0.06275079370043486,-0.01652530585862701,-0.2582616490763743
197210,0.018827588479217724,0.3384475005394685,0.0331465064391961,0.014318917959978378,0.018397013036066213,-0.3200504875034023
197211,-0.050793962654750766,0.3623896346718866,0.026492834013734395,0.07728679666848516,0.02578749676999669,-0.3366021379018899
197212,-0.08497931210678758,0.44170273622948175,0.048834256917293255,0.13381356902408084,0.013249360562324753,-0.428453375667157
197301,-0.06268197417486589,0.5179317483113468,0.006252171239789478,0.06893414541465537,-0.02919995446071503,-0.5471317027720618
197302,-0.02821824701733977,0.6154542909407619,0.11999496820732306,0.14821321522466283,-0.007999649766962451,-0.6234539407077243
197303,0.08471217127080675,0.645375178513091,-0.00678373851786283,-0.09149590978866959,-0.09072772877464519,-0.7361029072877362
197304,-0.20558628978335092,0.6040329159107414,0.02352984990461622,0.22911613968796715,-0.049953669526992484,-0.6539865854377338
197305,-0.30505262451618936,0.7644004380362656,0.12278626108449647,0.42783888560068584,-0.0662707898441642,-0.8306712278804297
197306,0.0281184278121574,1.002057319739949,-0.003768320179440386,-0.03188674799159778,-0.17903249143444352,-1.1810898111743924
197307,0.03487807647278329,0.941546084019046,0.20753582290633826,0.17265774643355497,-0.18263243753771372,-1.1241785215567597
197308,0.009184219047859266,0.8808896793168202,-0.082206032452292993,-0.09139025150015226,-0.34371968639991807,-1.2246093657167383
197309,0.07988692970271724,0.8731721944565952,0.0504466519291429,-0.029440277773574344,-0.2557740106899703,-1.1289462051465655
197310,0.17389516800362098,0.8101789970721616,0.03219807345368249,-0.14169709454993848,-0.26910675564606934,-1.079285752718231
197311,-0.13962313779276203,0.6331098893842695,-0.0030436123295313005,0.13657952546323074,-0.2990531899524139,-0.9321630793366834
197312,-0.05903602099550989,0.753305252750428,0.04372850330347616,0.10276452429898605,-0.28864720296296353,-1.0419524557133915
197401,-0.02985941451686041,0.8101834324197635,0.03427033657507996,0.06412975109194037,-0.3196582367845794,-1.129841669204343
197402,-0.03630858889062892,0.8681469116740282,0.005215054866638872,0.04152364375726779,-0.3323683923066415,-1.2005153039806697
197403,0.1257714907009029,0.9634058945413113,-0.011593920807963131,-0.13736541150886603,-0.27737043260943295,-1.2407763271507444
197404,-0.05082800774466385,0.8297407022280364,-0.03212151845483609,0.01870648928982777,-0.26676427647128587,-1.0965049786993222
197405,-0.027389687938503535,0.852516465248681,-0.0959193283793889,-0.06852964044088536,-0.2272039225938718,-1.0797203878425528
197406,0.0544830146752209,0.8753728024435039,0.1259458216580303,0.07146280698280941,-0.13831636558789373,-1.0136891680313975
197407,-0.12275754056701269,0.8848165858917628,0.177006449586133,0.2997639901531457,-0.17337260855997905,-1.0581891944517419
197408,0.03601079376548104,1.0208468822425538,-0.09757455511778922,-0.13358534888327026,-0.3087891340889665,-1.3296360163315204
197409,-0.13171311404861147,0.955684373450161,0.07702860294973525,0.20874171699834673,-0.208848611977531,-1.164532985427692
197410,0.022324839519693995,1.0292357989250251,-0.03796147966501022,-0.060286319184704215,-0.3059795219795593,-1.3352153209045843
197411,0.01157615429565118,0.9818469353634867,-0.015184207460525326,-0.026760361756176507,-0.2852873623798195,-1.267134297743306
197412,-0.002804647674494065,0.952490429488516,-0.08814209428394464,-0.08533744660945057,-0.2923554940199063,-1.2448459235084224
197501,0.06622468305521714,0.9091358553475364,-0.05949265377929137,-0.1257173368345085,-0.2279358258149425,-1.1370716811624788
197502,0.12645908059146652,0.8276522442173841,-0.010581298165609678,-0.1370403787570762,-0.1655759632309726,-0.9932282074483567
197503,-0.03591890717405112,0.6700018638766948,0.06078200828187842,0.09670091545592954,-0.17244869193911405,-0.8424505558158089
197504,0.09513406246078554,0.699247419661691,0.010360482549112055,-0.08477357991167349,-0.2526957316361138,-0.9519431512978048
197505,0.052712193190020934,0.5682569967947323,0.02963959332761164,-0.023072599862409292,-0.26044928713506077,-0.8287062839297931
197506,0.012471976758638493,0.5159564680756491,0.021836972406189335,0.009364995647550842,-0.2932224967444654,-0.8091789648201144
197507,-0.0033411255319720223,0.47149469778789954,0.10533256956545131,0.10867369509742333,-0.32952827912653865,-0.8010229769144382
197508,0.03302480815870422,0.5069999160625689,0.031906765409678364,-0.0011180427490258523,-0.3829587705271372,-0.8899586865897061
197509,-0.012212516005142664,0.5064241037897337,0.01727701868487907,0.029489534690021732,-0.4212018359739055,-0.9276259397636392
197510,0.03850238394859001,0.5344619530943107,-0.07592822783746717,-0.11443061178605718,-0.44007098627822566,-0.9745329393725364
