Date,Rank,Cha_Spread,ret_High,ret_Low,cha_High,cha_Low
199210,0.0299348819,0.37441361303346965,0.020804932733333333,-0.009129949166666667,0.01035181854885261,-0.36406179448461706
199211,-0.005324292988888889,0.4217362812924747,-0.012579428333333333,-0.0072551353444444446,0.03323219472882942,-0.38850408656364527
199212,0.012270232344444446,0.403164315231075,0.022416859055555557,0.010146626711111112,0.0623041893294721,-0.3408601259016029
199301,-0.006632319422222222,0.3541671349712892,0.004421698377777778,0.0110540178,0.018956857037877268,-0.3352102779334119
199302,0.010724945466666668,0.3437754486879202,0.02630307657777778,0.01557813111111111,0.03065220236040639,-0.3131232463275138
199303,0.0018306693444444446,0.380899924872075,0.0028134900222222224,9.828206777777778e-4,0.02171632316024567,-0.35918360171182934
199304,-0.021850873544444444,0.39105738548149555,-0.01765908028888889,0.004191793255555555,0.02772009933689983,-0.3633372861445957
199305,9.478572333333333e-4,0.4085238817893747,1.448268444444445e-4,-8.030303888888888e-4,0.033714193715263165,-0.3748096880741115
199306,0.017382744455555557,0.44307690565311403,0.029880187122222224,0.012497442666666666,0.024893729809117675,-0.41818317584399634
199307,0.005811498766666666,0.39204600809675016,0.01103768121111111,0.005226182444444444,-0.014892984016118658,-0.4069389921128688
199308,0.01494321098888889,0.4159290336360663,0.026303772566666668,0.011360561577777779,-0.03869441735602092,-0.45462345099208723
199309,0.007285982544444444,0.3976915472191941,0.007589049655555556,3.030671111111116e-4,-0.0845296332380802,-0.48222118045727425
199310,0.0060291623444444446,0.3934477688285705,0.0108643102,0.004835147855555555,-0.063631389895653,-0.45707915872422356
199311,0.014510015222222221,0.41540813636074503,0.0075455891,-0.006964426122222222,-0.04876373031760077,-0.4641718666783458
199312,0.012794679855555557,0.4008407508869804,0.017236799144444447,0.004442119288888889,-0.07658278687458163,-0.47742353776156204
199401,-0.027302221133333332,0.4095345117156324,-0.017747271766666666,0.009554949366666666,-0.10204959982445802,-0.5115841115400904
199402,-0.009528976822222222,0.4593680601977488,-0.027154533411111112,-0.01762555658888889,-0.0753465659562422,-0.534714626153991
199403,0.021405609944444445,0.47198928018307307,-0.0010517164666666665,-0.02245732641111111,-0.054422723577738794,-0.5264120037608119
199404,-0.008174354677777777,0.4220568737189287,-0.014853565633333333,-0.006679210955555555,-0.04128861199692667,-0.4633454857158553
199405,-0.024487193066666663,0.3776447527869485,-0.030617898066666663,-0.006130704999999999,-0.01025766355551021,-0.38790241634245864
199406,0.005272596000000001,0.38070103288042006,-0.006088545888888889,-0.01136114188888889,0.0053223525906543005,-0.3753786802897658
199407,0.009688482277777775,0.33025157933350424,0.01746289381111111,0.007774411533333333,0.027581808458354437,-0.3026697708751498
199408,-0.006387170122222224,0.35689244905579615,-0.0058432882888888905,5.438818333333334e-4,0.04285063456932912,-0.314041814486467
199409,-0.0021769756555555537,0.35506497111888335,-0.017216740966666665,-0.015039765311111111,0.03651596642816626,-0.3185490046907171
199410,0.008861569566666665,0.3414635198091429,0.003918327433333333,-0.004943242133333333,0.03331757659276993,-0.30814594321637295
199411,0.020881977722222222,0.2693457281573647,0.020912898044444444,3.092032222222203e-5,0.016609764785111766,-0.2527359633722529
